plot,plotpasture,pasture,water.yr,wyr.ppt,f.ppt,cs.ppt,gs.ppt,lag.wyr,lag.f,lag.cs,lag.gs,lag2.wyr,lag2.f,lag2.cs,lag2.gs
6,6_17N,17N,2013,275.3142438,75.23682088,26.416,173.661423,205.8576034,82.12685565,18.288,105.4427477,292.0167549,5.304631226,237.6901237,237.6901237
6,6_17N,17N,2014,438.4438284,180.5756964,76.2,181.668132,275.3142438,75.23682088,26.416,173.661423,205.8576034,82.12685565,105.4427477,105.4427477
6,6_17N,17N,2015,381.616367,72.70026613,60.198,248.7181009,438.4438284,180.5756964,76.2,181.668132,275.3142438,75.23682088,173.661423,173.661423
6,6_17N,17N,2016,240.8489372,60.31319982,71.374,109.1617374,381.616367,72.70026613,60.198,248.7181009,438.4438284,180.5756964,181.668132,181.668132
6,6_17N,17N,2017,316.3602907,71.24437381,55.88,189.2359168,240.8489372,60.31319982,71.374,109.1617374,381.616367,72.70026613,248.7181009,248.7181009
6,6_17N,17N,2018,316.5279098,81.13009928,53.34,182.0578105,316.3602907,71.24437381,55.88,189.2359168,240.8489372,60.31319982,109.1617374,109.1617374
6,6_17N,17N,2019,348.1293231,19.815566,77.96142389,250.3523332,316.5279098,81.13009928,53.34,182.0578105,316.3602907,71.24437381,189.2359168,189.2359168
6,6_17N,17N,2020,290.6349559,37.2042614,81.3897764,172.0409181,348.1293231,19.815566,77.96142389,250.3523332,316.5279098,81.13009928,182.0578105,182.0578105
6,6_17N,17N,2021,403.0912497,25.56478198,113.0820849,264.4443828,290.6349559,37.2042614,81.3897764,172.0409181,348.1293231,19.815566,250.3523332,250.3523332
6,6_17N,17N,2022,287.4654679,39.48950047,66.7340576,181.2419098,403.0912497,25.56478198,113.0820849,264.4443828,290.6349559,37.2042614,172.0409181,172.0409181
6,6_17N,17N,2023,462.2672854,45.39318971,48.514,368.3600957,287.4654679,39.48950047,66.7340576,181.2419098,403.0912497,25.56478198,264.4443828,264.4443828
1,1_17S,17S,2011,300.0340543,4.188070581,49.022,246.8239837,NA,NA,NA,NA,NA,NA,NA,NA
1,1_17S,17S,2012,195.9197299,80.93577612,18.288,96.69595382,300.0340543,4.188070581,49.022,246.8239837,NA,NA,NA,NA
1,1_17S,17S,2013,269.4582071,71.65343856,26.416,171.3887686,195.9197299,80.93577612,18.288,96.69595382,300.0340543,4.188070581,246.8239837,246.8239837
1,1_17S,17S,2014,455.5715016,187.7543582,76.2,191.6171434,269.4582071,71.65343856,26.416,171.3887686,195.9197299,80.93577612,96.69595382,96.69595382
1,1_17S,17S,2015,379.2400334,77.28686237,60.198,241.755171,455.5715016,187.7543582,76.2,191.6171434,269.4582071,71.65343856,171.3887686,171.3887686
